Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
ElasticNet,0.9234450004729127,0.9058254653126505,0.07422984283777284,0.09001621150290559,0.10802884141048816,0.13256697559316305
Linear Regression,0.9450326458149915,0.9048659790122296,0.06298466976978406,0.09079009317229365,0.09153882970713026,0.13324058580244033
Ridge,0.9398030352772901,0.9045220406106191,0.06658242701304162,0.09049727553363772,0.0957944252613807,0.13348122111411678
XGBoost,0.9941305276539012,0.9018737329598826,0.022572832108739484,0.08883327075148564,0.0299124833381227,0.135319768322694
Lasso,0.9080315664856919,0.8970056090810128,0.07970370710022939,0.0947918207990051,0.11840562483555285,0.13863580024119798
Random Forest,0.9818507863971303,0.8824958169685646,0.03540754040115404,0.10015787205403107,0.05259952779033386,0.14807961290752564
