Model,Train_R2,Test_R2,Train_MAE,Test_MAE,Train_RMSE,Test_RMSE
XGBoost,0.9938298674852113,0.9075381657095771,0.023337030680875028,0.08619759693215055,0.03066904021683765,0.13135598312863783
Ridge,0.9366137443291809,0.9069786478638422,0.06858363080493461,0.0921855330193764,0.0982993142944525,0.1317528234309109
ElasticNet,0.9207760551678554,0.9057384665623285,0.07515525024956579,0.0914725384803569,0.10989581929706263,0.13262819436576034
Linear Regression,0.9450324866646774,0.9049432511302504,0.06298495958335225,0.09073545188331486,0.09153896222599676,0.1331864628205256
Lasso,0.9083793406299174,0.8985153645348296,0.07940784180965672,0.09490691181392621,0.11818154024699928,0.1376159443914582
Random Forest,0.9816876041929686,0.8814688749464128,0.03551841465115463,0.10061966203402165,0.05283546362431567,0.14872528508905267
